,job_title,company_name,region,applicant_count,employment_salary_type_level,company_size_industry,date_queried,date_posted,description
75,Senior Data Scientist,Narwal,United States,71 applicants,Full-time,51-200 employees,2021-10-13 21:08,2 days ago,"Role - Senior Data ScientistFull Time EmploymentRemote opportunity Data Science Engineer Job Description: Overall responsibility:·    Overall 8-10 years’ experience with 3-5 years hands on Data Science Engineer experience·    Ability to work on Structured Data Assets and Classification problems·    Experience in Feature Selection, Building and Optimizing classifiers using machine learning techniques·    Model Development, Model Performance and Tuning, Segmentation, Ensemble Techniques Data mining and extraction:·    Data mining using state-of-the-art methods·    Extending enterprise data with third party sources of information when needed·    Enhancing data collection procedures to include information that is relevant for building analytic systems·    Processing, cleansing, and verifying the integrity of data used for analysis Data analysis:·    Doing ad-hoc analysis and presenting results in a clear manner·    Creating automated anomaly detection systems and constant tracking of its performance·    Selecting appropriate data sets·    Picking appropriate data representation methods·    Identifying differences in data distribution that affects model performance·    Verifying data quality·    Assess, analyze and organize large amounts of data, while also executing tests and optimizing machine learning models and algorithms Machine Learning:·    Designing ML systems·    Researching and implementing ML algorithms and tools·    Transforming and converting data science prototypes·    Performing statistical analysis·    Extending machine learning libraries·    Developing machine learning apps according to requirements Skills:·    Python, AWS, Sagemaker, GitHub, Jupyter Notebooks·    Conducting formal Code reviews·    Working in Agile Squad teams with sprint-based delivery·    Good communication and collaboration skills to work within the team to accomplish the team objectives·    Experience or Exposure in Healthcare domain is desirable"
76,Data Scientist,Priceline,"Norwalk, CT",7 applicants,Full-time · Entry level,"501-1,000 employees · Internet",2021-10-13 21:09,5 days ago,"We’re a data-driven organization, which makes our Analytics and Data Science teams the brains of our operation. On the cutting edge of customer and business analytics, they make sure all our decisions and innovations are based on the latest insights. Why This Job’s a Big Deal Priceline is looking for a Data Scientist to be a key member of our Pricing Team, interacting with Priceline’s Data, Product, Technology, Marketing, and other related business teams. Specifically, the person in this role will help design and build a machine assisted pricing platform by leveraging advanced analytics, statistical, econometrics, and quantitative models to drive business value while striving to serve the company’s mission to be the best travel deal maker in the world. In This Role, You Will Get To Build models that optimize our prices and keep us competitive in the marketplaceCollaborate closely with team members, cross-functional stakeholders, and senior management to help develop pricing models and make business critical pricing decisionsLeverage data analyses, modeling, and visualization tools such as R and/or Python, Oracle SQL, BigQuery, MySQL, Tableau, and othersDevise testing methods to determine the best model to deploy to production, and devise monitoring strategies for ongoing model performancePresent technical aspects of model development and monitoring to non-technical audiences and business stakeholders Who You Are 3+ years of experience with Data Science / analyticsHands on experience in building and deploying statistical or econometrics models to production on a consumer platformBachelor or Masters degree in a quantitative or computational field (ie, Math, Statistics, Computer Science or Physics)Experience with ML computing on premise or cloud platforms like AWS or Google Cloud or Microsoft AzureProficiency in a programming language used for data analysis (R/Python), query knowledge (SQL) and have experience with data warehousing systems like Amazon Redshift, Snowflake, BigQueryKnowledge of Pricing or experience of working in Travel & Hospitality a plusSound verbal and written skills to effectively interact with both technical as well as non-technical audiencesDisplay high energy and driveDemonstrated history of living the values important to priceline: Customer, Innovation, Team, Accountability and Trust. Unquestionable integrity and ethics Who We Are WE ARE PRICELINE. Our success as one of the biggest players in online travel is all thanks to our incredible, dedicated team of talented employees. Priceliners are focused on being the best travel deal makers in the world, fueled by our passion to help everyone experience the moments that matter most in their lives. Whether it’s a dream vacation, your cousin’s graduation, or your best friend’s wedding – we make travel affordable and accessible to our customers. Our culture is unique and inspiring (that’s what our employees tell us). We’re a grown-up, startup. We deliver the excitement of a new venture, without the struggles and chaos that can come with a business that hasn’t stabilized. We’re on the cutting edge of innovative technologies. We keep the customer at the center of all that we do. Our ability to meet their needs relies on the strength of a workforce as diverse as the customers we serve. We bring together employees from all walks of life and we are proud to provide the kind of inclusive environment that stimulates innovation, creativity and collaboration. Priceline is part of the Booking Holdings, Inc. (Nasdaq: BKNG) family of companies, a highly profitable global online travel company with a market capitalization of over $80 billion. Our sister companies include Booking.com, BookingGo, Agoda, Kayak and OpenTable. If you want to be part of something truly special, check us out! Diversity, Equity and Inclusion – Our Commitment Priceline ensures equal employment opportunity to all employees and applicants without discrimination or harassment based on race, religious creed, color, age, sex, sexual orientation, gender identity, national origin, religion, marital status, medical condition, disability, military service, pregnancy, childbirth and related medical conditions, or any other classification protected by governing law. Applying for this position We're excited that you are interested in a career with us. For all current employees, please use the internal portal to find jobs and apply. External candidates are required to have an account before applying. When you click Apply, returning candidates can log in, or new candidates can quickly create an account to save/view applications. If you are applying for a role in Connecticut or are a resident of Connecticut, you may obtain more insight on the recruiting range for this position, please submit an application and email your request to CTWages@priceline.com."
77,Data Scientist,Burtch Works,"New York, NY",31 applicants,Full-time · Mid-Senior level,11-50 employees · Staffing & Recruiting,2021-10-13 21:09,2 days ago,"** Unfortunately, at this time our client is only accepting resumes of US Citizens or Green Card holders** This Data Scientist will help support complex analytical work on client engagements, develop and enhance innovative analytical tools and products, develop and commercialize analytical approaches for client engagements, and support training, mentoring and coaching technical and non-technical colleagues. This role is remote as of right now, but down the line they are expecting employees to be in office two days a week (employee chooses days). Successful candidates will have: Degree in Finance, Mathematics, Computer Science, Statistics, Economics, or a related field.3-5 years experience in the data industryExperience with tools like Python, R, Alteryx, SQL, and Tableau Strong communication skillsExperience with statistical analysis like time-series, regression, cluster, decision trees, etc. Ability to thrive in an agile and fast growing environment. This position bases out in the low to mid 100k range plus bonus and profit share! ﻿Keywords: data science, data scientist, consulting, Python, Tableau, R, Alteryx, SQL, communication, agile"
78,Senior Data Scientist,ACL Digital,United States,9 applicants,Contract · Mid-Senior level,"1,001-5,000 employees · Information Technology & Services",2021-10-13 21:09,5 hours ago,"Job Title: Sr. Data Scientist, PDMDuration: 14+ Months ContractRemote This position is with our client Description We are looking for a passionate and talented Data Scientist who will collaborate with other scientists and engineers to leverage machine learning methods and algorithms for modeling and analysis. You will design and run experiments, research new algorithms, and find new ways of optimizing Clinical operations. Besides theoretical analysis and innovation, you will work closely with talented engineers to put your algorithms and models into practice. Your work will directly impact the trust customers place in Gilead. Essential Duties and Job Functions: Design, implement, test, deploy and maintain innovative data and machine learning solutions to improve clinical operations.· Create experiments and prototype implementations of new learning algorithms and prediction techniques· Collaborate with scientists, engineers, product managers and business stakeholders to design and implement software solutions· Use machine learning best practices to ensure a high standard of quality for all of the team deliverablesBasic Qualifications• Graduate studies in Computer Science or Applied Mathematics, undergraduate studies in Computer Science and relevant graduate studies in the life sciences with a focus on AI/ML techniques, or undergraduate studies in Computer Science and equivalent work history. Candidates with graduate studies in Computer Science and biological sciences or equivalent work history will be highly competitive.• Expertise in end-to-end data science techniques• Proficient in machine learning, information retrieval, and applied statistics• Ability to do exploratory analysis on large volumes of data and find key descriptive and inferential properties• Develop effective data science solutions by applying ML/AI (deep learning, NLP, Causal inference methods) to deliver business value• Strong Python (3+ years) programming skills, with an ability to manipulate large and sophisticated datasets using distributed computing technologies (e.g., Apache Spark)• Knowledge of cloud services (e.g. AWS) and developing data science projects• Experience building Machine Learning models and libraries like Scikit-learn, Keras, Tensorflow, Pytorch, FastText, etc• Software development methodologies and tools (unit tests, code reviews, Git)• Self-motivated, fast learner, excellent communication, presentation, interpersonal, and analytical Preferred Qualifications: If you have the following characteristics, it would be a plus:• PhD in Computer Science• Understanding and application of best practices in machine learning, software engineering, and/or production deployment of ML services• Track record of contributing to open-source projects• Understanding of modern ML Architectures, Platforms, and backend systems• Mentality of commit early and often, metrics before models, and shipping high quality production code• Extensive experience applying theoretical models in an applied environment• Strong fundamentals in problem solving, algorithm design and complexity analysis• Experienced with engineering and architecting data lakes, data warehouses, and big data storage and compute platforms on AWS. In addition, experienced with modern high - performance columnar storage formats such as Apache Parquet and Optimized Row Columnar (ORC). Familiarity with NoSQL, experience with ETL framework like Airflow• Experienced with development tools and data cataloging, search, analysis, visualization, and reporting tools such as Python, SAS, Tableau, Power BI, and various Amazon Web Services tools (S3, Glacier, RDS, Redshift, EC2, Athena, EMR, Glue, Elasticsearch, Lambda, Kinesis, QuickSight)• Experienced with building and modeling a data sciences platform that address technology, process, and people. This includes understanding and building a data layer for data capture, ingestion, ETL, and data set management, analysis layer for analytics, compute, and batch processing, end user spaces for search, visualization, interactive tools, and self-service."
79,Data Analyst- Fraud,Housecall Pro,United States,9 applicants,Full-time · Entry level,201-500 employees · Computer Software,2021-10-13 21:09,1 hour ago,"Why Housecall Pro? Housecall Pro is a mission-driven company - we champion the Service Pro to success. We are tackling a large market ($700b+) generally underserved by technology and unencumbered by a dominant competitor. Competitive compensation and benefits (medical, dental, vision, life, disability, employee assistance program, 401K) that start on day 1. Our passionate employees bring their authentic selves to work. Housecall Pro employees are encouraged to create employee resource groups to make the world better (think volunteering and philanthropy). Equity in a growth stage startup backed by top-tier VCs. Paid holidays and self-managed take-it-as-you-need-it paid time off. Opportunity to come onboard with a team that is experiencing high growth with ability to explore different career paths. Our vision is to revolutionize the home services experience. Our mission is to unlock the potential of every Pro. The Role As a Risk Data Analyst at Housecall Pro, you will be on the front lines of preventing fraud, evaluating merchant creditworthiness, and mitigating risk across payment processing and other financial solutions. In this role, you will analyze account- and charge-level data trends to identify and protect against emerging threats. Your primary mission is to support the Risk team in synthesizing data and testing hypotheses to bolster existing charge algorithms and support development of new rules to minimize losses while optimizing caseload. Responsibilities Conduct analysis to develop new data-driven risk rules and to evaluate the performance of existing strategies Test hypotheses aimed at mitigating losses, while balance strategic business objectives such as revenue, churn, and lifetime value Perform analysis to identify patterns of high risk transactions Document findings and present to senior management Synthesize and visualize key performance metrics related to charge risk and merchant risk Assess and analyze industry and market trends impacting fraud and risk Balance fraud prevention recommendations with their impact on Pro experience and operational costs Partner with Analytics, Risk, Product, and Engineering teams on Fintech risk operations and development and implementation of protection strategies Required Qualifications 2-5 years financial services industry experience in analytics Bachelor’s Degree in Economics, Mathematics, Statistics, or similar 2+ years of experience querying data (SQL) and performing statistical analysis 1+ years of experience with BI systems such as Tableau, Power BI, Looker, or similar. Tableau preferred. Comprehensive understanding of credit card processing and chargeback risk Experience creating and testing risk rules preferred Strong written and verbal communication skills Strong data-visualization and data-manipulation skills Eager to own, create, research, and have an impact Founded in 2013, Housecall Pro has become the leader in the field service management software space. We are committed to improving home service professionals’ business by providing solutions that support their success by delivering software that includes scheduling, dispatching, job management, invoicing, payment processing, and marketing. With over 400 employees in the US and over $50M raised in venture capital, we are growing our organization commensurate with our business opportunity and expect significant headcount growth in 2021. Housecall Pro celebrates diversity and we are committed to creating an inclusive environment for all employees with equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Housecall Pro is an equal opportunity employer; committed to an environment free from discrimination, harassment, and retaliation."
80,"Research Scientist, AI",Facebook,"New York, NY","New York, NY",Full-time,"10,001+ employees · Internet",2021-10-13 21:09,3 weeks ago,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started. Facebook is seeking a Research Scientist to join Facebook AI Research (FAIR), a research organization focused on making significant progress in AI. Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational statistics, and applied mathematics, particularly including areas such as deep learning, graphical models, reinforcement learning, computer perception, natural language processing and data representation. The ideal candidate will have a keen interest in producing new science to understand intelligence and technology to make computers more intelligent. To learn more about our research, visit https://research.facebook.com. Responsibilities Lead research to advance the science and technology of intelligent machines.Lead research that enables learning the semantics of data (images, video, text, audio, speech and other modalities).Devise better data-driven models of human behavior.Work towards long-term ambitious research goals, while identifying intermediate milestones.Influence progress of relevant research communities by producing publications.Contribute research that can be applied to Facebook product development.Lead and collaborate on research projects within a globally based team. Minimum Qualification Experience holding a faculty, industry, or government researcher position.Ph.D. and publications in machine learning, AI, computer science, statistics, applied mathematics, data science, or related technical fields.Experience leading a team in solving analytical problems using quantitative approaches.Experience manipulating and analyzing data from different sources.Experience in theoretical and empirical research and for answering questions with research.Experience communicating research for public audiences of peers.Knowledge in a programming language.Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment. Preferred Qualification 1+ year(s) of work experience in a university, industry, or government lab(s), in a role with primary emphasis on AI research.Experience driving original scholarship in collaboration with a team.First-author publications at peer-reviewed AI conferences (e.g. NIPS, CVPR, ICML, ICLR, ICCV, and ACL).Experience in developing and debugging in C/C++, Python, C# and/or Java. Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
81,Data Scientist,IRI,United States,42 applicants,Full-time · Associate,"5,001-10,000 employees · Market Research",2021-10-13 21:09,1 week ago,"At IRI, we deliver growth to clients based on big data—our predictive analytics and forward-thinking insights help CPG, OTC, health care, retailers, and media companies remain relentlessly relevant, capture marketing share, connect with consumers, and deliver market-leading growth. The convergence of our proprietary, on-demand cloud-based technology and our client-focused colleagues leads to a seismic shift in drivers of success in all industries. For IRI colleagues, we focus on the moments that matter. From meaningful work and impact to continuous improvement we challenge ourselves to grow both professionally and personally. You’ll feel a true sense of connection and purpose in your work and will craft the direction of your career in a highly personalized way. No matter the department you join, you’ll find yourself constantly growing and developing the skills of the future to deliver client growth. We believe in the undeniable strength that diverse people, cultures, thought and skills bring to our business, our clients, our people, and our communities. We are committed to nurturing a dynamic culture that embraces and celebrates openness, collaboration, creativity, equity, inclusivity, and growth for all. What will I be doing? Big Data is in our DNA and our Product Team is growing fast to meet the demands of the Marketplace. IRI continues to innovate in the space and has developed and integrated the world’s largest cross-channel media, social, and online/offline purchase data sets to help our clients maximize the ROI for media spend. As a Data Scientist, you will be part of our media team. Our media team gives CPG manufacturers a view of where consumers go online; what they watch on TV to determine how these activities translate into measurable and actual consumer behavior--what consumers buy and why. In this role, you will be responsible for research, development, and implementing various statistical techniques and data integration methodologies, and combining a multitude of data sets allowing our clients to gain knowledge and insights on consumer purchasing behavior. RequirementsBachelor’s degree in the quantitative research field, such as Data Science, Statistics, Mathematics, social sciences, biological/physical science, or Computer Science; Masters preferred.2+ years of experience working with media/advertising data2+ years of experience in applying statistical methodologies on large datasets of respondent level, log file, or transactional levelComfortable with Hive, SQL, R, Python to prepare, aggregate, or transform data for analysisAble to build and convey impactful insights drawing from multiple data sourcesSkilled at explaining the technical subject matter to non-technical audiencesExperience with visualizing descriptive statistics and model output using Power BI, Tableau, or ExcelProficiency in statistical methodologies and ability to independently develop statistical models to isolate impact due to stimulus (such as advertising impact on purchase behavior) in an experimental design situationProficiency with Linear Models, Bayesian algorithms, decision trees, and cluster analysisAble to diagnose issues and areas of improvement regarding QC, efficiency (time, CPU usage), and accuracy of data preparation and model running Preferred Skills/Experience:Demonstrates strong interpersonal, communication, and presentation skillsAbility to explain findings and recommendations to a broad business audience, both internal and externalEducated on a variety of analytical methods, shapes thinking and influences decisionsExperience in Media or Consumer Products Analytics with the ability to apply knowledge of and passion for digital, social, mobile media, and other new platforms to provide insight and evaluation that helps clients build stronger consumer connections.Effectively manages client and R&D projects by balancing tasks to achieve both short and long term goals About UsAs one of the original innovators in Big Data, IRI integrates the world’s largest set of otherwise disconnected purchase, media, social, causal, and loyalty data to help CPG, retail, over-the-counter health care, and media companies grow their businesses. We combine this data with predictive analytics to uncover new consumer insights and integrate them on the most technologically advanced, cloud-based visualization platform. Learn more about us Our Benefits We offer a comprehensive benefits package (health, paid time off, 401(k), etc.) with additional unconventional offerings such as volunteer time off, flexible work arrangements, virtual doctor access, etc., along with the unrivaled benefit of working with our people - the best in the business. Our Culture﻿We’re thrilled we get to work on the most interesting business challenges facing the CPG and retail industries. We regularly uncover new “aha moments!” by closely collaborating with our colleagues and developing competencies centered around the following values: Collaboration, Personal Development, Executional Excellence, Client Growth, Innovation, and Creativity. IRI is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. The EEO is the Law poster is available here: DOL Poster. IRI is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to Talent.Acquisition@iriworldwide.com and let us know the nature of your request and your contact information. About Vestar Capital PartnersVestar Capital Partners is a leading U.S. middle-market private equity firm specializing in management buyouts and growth capital investments. Vestar invests and collaborates with incumbent management teams and private owners to build long-term enterprise value, with a focus on Consumer, Healthcare, and Business Services & Industrial Products. For more information on Vestar, please visit www.vestarcapital.com."
82,Principal Data Scientist,Twilio,United States,6 applicants,Full-time,"5,001-10,000 employees · Internet",2021-10-13 21:09,7 hours ago,"The Who, What, Why And Where Twilio is looking for a Principal Machine Learning Engineer who wants to design, build, and deploy machine learning systems into the real world and help Twilio power its growth initiatives. You are eager to learn and inspire, and you like to think at scale and work on real world products and problems. You bring a focus on efficient experimentation, team collaboration, large-scale systems design, and good first-principles engineering. You deal with ambiguity effectively and are able to bring clarity in requirements and technical solutions. You are a technical lead for other MLEs on the team and partner effectively with product managers and other cross function groups. This is a good opportunity to influence and contribute to early stage product development and harness the power of machine learning for highly visible initiatives. Who? Ideal Candidates Would Have The Following A Masters or PhD in Computer Science, Mathematics or Statistics. Strong background in the foundations of machine learning - depth in Regression, Classification, KNN, RFM, DNN, SVM and Naive Bayes. 7+ years of hands-on experience with one of Python, C/C++ or Java/Scala Strong fundamentals in Systems Design and Computer Science Exposure to Big Data technologies(spark/hadoop) and Microservices Architecture Exposure to different ML frameworks and services like Sagemaker, Clarify, Model Monitoring, TensorFlow, MxNet, PyTorch, Skitlearn etc. Track record of building, shipping and maintaining machine learning models in a highly ambiguous and fast paced environment. Track record of defining new data science techniques and best practices that improve the ML model performance Track record of designing and architecting large scale experiments and analysis which impact multiple teams and adjacent focus areas What? As a Machine Learning Engineer, you will live the Twilio Magic values: RUTHLESSLY PRIORITIZE : Work with other engineering teams and with members of the product organisation to distill internal and customer needs into requirements and tech specs. DRAW THE OWL : Build new features without having all of the answers. BE AN OWNER : Architect new systems with a focus on scalability, testability, and maintainability. WEAR THE CUSTOMER’S SHOES : Help resolve technical issues and blockers for internal and external customers. DON’T SETTLE : Drive high engineering standards on the team through code review, automated testing, and mentoring. We care what our code looks like, and you should too. EMPOWER OTHERS : Collaborate with colleagues on a small, energetic team. Why? The Growth Automation pillar is building a new platform to provide a one-stop shop for marketers to build delightful, personalized customer experiences across any channel based on a single view of the customer. Orchestrate a customer journey and send emails, SMS, push notifications, voice, video, whatsapp, onsite personalization - any channel that the customer prefers most with a relevant message they actually want to see. Our team’s goal is to help Twilio-Segment customers understand, aid, and delight their customers across every first party touchpoint and interaction. Growth Automation is being built on top of the most sophisticated first party customer data platform in the world. Imagine a platform that can take the hundreds of thousands of messages entering Segment’s pipelines every second, add in a new identity graph, and overlay multiple high speed, realtime and batch databases — and you have the Personas platform. We’ve since built several successful products on top of the Personas platform: Segment Audiences for real time audience management, Segment Traits for computation, and Profile API for real time personalization. We are now personalizing customer engagement by transforming raw customer data across all channels into actionable, individualized customer predictions that you can leverage in any workflow or process. Where? This position will be located remotely in North America. Twilio offers benefits and perks to support the physical, financial, and emotional well being of you and your loved ones. No matter where you are based, you will experience a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers’ experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture that empowers everyone to do their best work and be the best version of themselves. About Us Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world’s communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world’s most demanding applications. By making communications a part of every software developer’s toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world’s largest organizations — to reinvent how companies engage with their customers. In accordance with applicable law, the following represents Twilio's reasonable estimate of the range of possible compensation for this role if hired in Colorado. Please note that this information is provided for those hired in Colorado only, and this role is open to candidates outside of Colorado as well.  Salary Denver/Boulder Metro: $146.240 - $201,080 Rest Of Colorado $127.960 - $175,945 Non Sales: Additionally, this role is eligible to participate in Twilio's equity plan. An overview of Twilio’s benefits offered is listed below: Benefits At the time of this posting, this role is eligible to participate in the following benefits, which Twilio reserves the right to modify at any time for any reason in accordance with applicable law Twilio is committed to delivering a comprehensive benefits program that provides support needed for you and your loved ones. It’s likely that you don’t think about benefits every day; however, they are an important component of your total compensation, and we want you to understand the options available to you so that you can make the most of your benefit dollars. Healthcare Insurance and Leave Prescription Drug Dental Vision Flexible Spending and Health Savings Accounts Leave programs for all of life’s moments: maternity, parental/bonding, as well medical leave to care for yourself or a loved one Financial Benefits Short and Long Term Disability Insurance Life and Accidental Death & Dismemberment Insurance 401(k) Retirement Savings Plan with a match Reimbursement Programs & Stipends $65 per month work-from-home stipend Up to $50 per month for wellness expenses and activities Up to $30 per month to use towards books/eBooks"
83,Data Scientist,StrongArm Tech,"Brooklyn, NY",21 applicants,Full-time · Entry level,11-50 employees · Information Technology & Services,2021-10-13 21:09,1 week ago,"R&D ENGINEER - DATA TEAM Position Overview As an R&D Engineer on the Data Team at StrongArm you will play a vital role in creating and developing new & exciting data products. You will be responsible for developing and deploying products, including algorithms, software-based analysis scripts, and sensor hardware integration testing. As a member of the Data Team, you will have access to a massive dataset of IoT sensor data focused on improved workplace safety. You will be a key player in developing new features and analysis based on both physical sciences and engineering to improve the lives of workers. In this role, you will be highly collaborative - with our Product Team, Data Team, and Software Development. Interpersonal skills and the ability to learn and act quickly are crucial to succeeding in this role. You will work in project teams closely with all members of the organization, and will need to apply scientific engineering methodologies to solve product problems. The ideal candidate for this position will have a strong background in engineering and completing technical projects from start to finish. We are looking for a self-starter with a solid foundation of engineering principles, combined with a desire to be the go-to person for developing technical solutions in a fast-growing start-up making a tangible difference on working people’s lives. Essential Functions Develop product features across the platform’s offering - from hardware testing to algorithm development, to create the most scientifically sound product possible.Collaborate with technical and product teams on a daily basis to accomplish projects on-time. Use software, engineering tools, and mathematics to ensure data integrity and product functionality.Collaborate cross-functionally with Data Scientists, Engineers, Product, Firmware, and Hardware to create new product features and capabilities using our unique data and insights.Ensure all product and data requirements are delivered on and followed through initial product conception to full production result.Ideate, prototype, and implement product improvements to improve product effectiveness.Travel on-site to support product testing and deployments on-site as needed. Key Requirements / Qualifications 2-5 years of relevant work experience in engineering, analytics, or other similar physical-science based rolesA passion for using both data, science, and engineering to develop products and tools that help solve real-world problems.Experience delivering successful results on large engineering projects that involve multiple disciplines, varied technical challenges, and clear deadlines.Experience with Python, SQL, or similar language to accomplish engineering projects.Ability to translate complex projects and technical concepts in a clear, easy to understand way to both technical and non-technical audiences.Experience working in a fast-paced cross-functional environment, prioritizing assignments, and handling multiple tasks simultaneously and independently.Experience with statistical analysis, experimentation design, and scientific methods.Detail-oriented and meticulously organized. Comfortable aggregating, auditing, and manipulating large data sets efficiently and accurately.Expert in Excel. Experience with sensor data and linear algebra is a plus.Desire to grow, learn, solve problems, and expand responsibilities within the Data Team in a fast-paced start-up environment. StrongArm Technologies is an equal opportunity employer."
84,Data Scientist,CreativeX,"New York, NY",48 applicants,Full-time,11-50 employees · Internet,2021-10-13 21:09,2 weeks ago,"About CreativeX: CreativeX advances creative expression through the clarity of data. Our technology helps the world's largest brands make better, and more data-driven, creative decisions. We help them improve the way they use imagery and video to communicate with, and stand out to, their consumers. We've built award winning technology which is used globally and, after raising our Series A in 2019, we are growing rapidly and hiring ambitious and thoughtful people to join our team. What you will do: We’re looking for someone to join our Strategy & Operations team as a Data Scientist, where you will be responsible for elevating analytics across the entire organization with a focus on research and business operations. Immediate projects: Lead joint research projects with platform partners (Facebook, Instagram, Google, etc.) that explore how certain creative elements can drive outperformance in digital advertisingBuild and maintain Tableau dashboards; use cases include business optimization, customer health scoring, financial reporting and othersAssist in the development of product pricingAnalytically support commercial teams in consultative services for top clientsConduct “error rate” analysis to understand the top contributors to labeling errorsDrive improvements in the performance of our production computer-vision modelsDevelop and execute a strategy for keeping our various technologies integrated (current tech stack includes Seamless.ai, Outreach.io, Salesforce, Hubspot, Tableau and PostgreSQL) Required experience: 3-6 years of experience in an data-focused role Proficient with database technologies and tools (SQL, R, Python, Stata, etc.)Professional experience using statistical techniques, including multiple logistic regression, classification models and cluster analysisProfessional experience using BI tools (Tableau, Looker, Power BI, etc.) Professional experience presenting data insights to key stakeholders Who you are: You embrace autonomy and the idea of owning projects “cradle to grave” - you come up with the idea, execute it, and report on itYou’re comfortable working in a rapidly growing startup environmentYou’re comfortable communicating complex ideas (i.e. statistical techniques) to a non-technical audienceYou’re a self starter that will vocalize ideas and opinions even if they are not firmly within your role description"
85,Sr Data Scientist.,Johnson & Johnson,"Raritan, NJ","Raritan, NJ",Full-time,"10,001+ employees · Hospital & Health Care",2021-10-13 21:09,7 hours ago,"Johnson & Johnson Supply Chain Digital & Analytics group is recruiting for a Sr. Data Scientist who will play a key role in our transformation journey of applying innovative analytics to drive business improvement and competitive advantage. This position has the option to sit in any J&J worldwide offices, but preferred locations are US or Europe. At the core of our business is the value of reliable, real-time data - “the great equalizer” - and insights that come out strategy of the data using Machine Learning and AI. Our ability to use cognitive, diagnostic, predictive and prescriptive analytics to drive speed and agility in our supply chain will give us competitive edge. Accelerated adoption of pioneering Machine Learning analytics embedded in the operational workflow is required to achieve our goals. The Sr. Data Scientist will be one of the main contributors to the modeling & analytics strategy. Will also drive high-impact and innovative solutions that support different teams cross JJSC. Major Responsibilities Include Research, design, implement, evaluate, and optimize novel algorithms/models in Deep Learning, NLP, Computer Vision space. Drive the development of the NLP and Smart Imaging platform.Partner with product management, business leaders and partners in various functional groups to identify, guide, and advise on AI based application opportunities.Keep in tune with industry trends, techniques, tools and use cases to steer internal improvement and innovation of Machine Learning and Data science.Provide technical and team leadership to team members. Ensure they are growing their capabilities and achieving their career goals Qualifications Qualifications: Masters or PhD is required in engineering or quantitative fields such as Computer Science, Data Science, statistics, applied mathematics, or any other related quantitative fields from an accredited college or university4+ years of experiences in solving business problems with AI/Machine Learning/Deep Learning and creating production level ML applications.3+ years of experience in NLP/Computer Vision. Proficiency with Python, PyTorch, TensorFlow, Keras, etc.Experience in leading data science projects or development teams. Experience with agile development and driving the full SDLC process is preferred.Proficiency with programming in Python, and good knowledge of R, C#/C++, Java, JavaScript, etc.Ability to think out of box. Good understanding of innovative research in NLP/Computer Vision space.Experience with Docker, Kubernetes, Databricks is preferredExperience with knowledge graph and graph database is preferredExperience with big data architecture and pipeline, Hadoop, Hive, Spark, Kafka, etc., is preferred. Primary Location United States-New Jersey-Bridgewater-430 Route 22 Other Locations North America-United States-California-Redwood City, United States-New Jersey-Raritan, United States-Florida-Tampa, United States-New Jersey-New Brunswick, United States-New Jersey-Titusville, United States-Pennsylvania-Spring House, United States-California-Santa Clara, United States-Washington-Seattle, United States-Washington-Seattle, United States-Washington-Seattle Organization Johnson & Johnson Services Inc. (6090) Job Function R&D Requisition ID 2105974950W"
